         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
     364000  +1            11101101 11011101 
     364000  +4            11101101 11011110 
     365000  +1            11101110 11011110 
     365000  +4            11101110 11100000 
     366000  +1            11101111 11100000 
     366000  +4            11101111 11100001 
     367000  +1            11110000 11100001 
     367000  +4            11110000 11100011 
     368000  +1            11110001 11100011 
     368000  +4            11110001 11100100 
     369000  +1            11110010 11100100 
     369000  +4            11110010 11100110 
     370000  +1            11110011 11100110 
     370000  +4            11110011 11101000 
     371000  +1            11110100 11101000 
     371000  +4            11110100 11101001 
     372000  +1            11110101 11101001 
     372000  +4            11110101 11101011 
     373000  +1            11110110 11101011 
     373000  +4            11110110 11101101 
     374000  +1            11110111 11101101 
     374000  +4            11110111 11101111 
     375000  +1            11111000 11101111 
     375000  +4            11111000 11110001 
     376000  +1            11111001 11110001 
     376000  +4            11111001 11110011 
     377000  +1            11111010 11110011 
     377000  +4            11111010 11110101 
     378000  +1            11111011 11110101 
     378000  +4            11111011 11110111 
     379000  +1            11111100 11110111 
     379000  +4            11111100 11111000 
     380000  +1            11111101 11111000 
     380000  +4            11111101 11111010 
     381000  +1            11111110 11111010 
     381000  +4            11111110 11111100 
     382000  +1            11111111 11111100 
     382000  +4            11111111 11111110 
     383000  +1            00000000 11111110 
     383000  +4            00000000 00000000 
     384000  +1            00000001 00000000 
     384000  +4            00000001 00000010 
     385000  +1            00000010 00000010 
     385000  +4            00000010 00000100 
     386000  +1            00000011 00000100 
     386000  +4            00000011 00000110 
     387000  +1            00000100 00000110 
     387000  +4            00000100 00001000 
     388000  +1            00000101 00001000 
     388000  +4            00000101 00001001 
     389000  +1            00000110 00001001 
     389000  +4            00000110 00001011 
     390000  +1            00000111 00001011 
     390000  +4            00000111 00001101 
     391000  +1            00001000 00001101 
     391000  +4            00001000 00001111 
     392000  +1            00001001 00001111 
     392000  +4            00001001 00010001 
     393000  +1            00001010 00010001 
     393000  +4            00001010 00010011 
     394000  +1            00001011 00010011 
     394000  +4            00001011 00010101 
     395000  +1            00001100 00010101 
     395000  +4            00001100 00010111 
     396000  +1            00001101 00010111 
     396000  +4            00001101 00011000 
     397000  +1            00001110 00011000 
     397000  +4            00001110 00011010 
     398000  +1            00001111 00011010 
     398000  +4            00001111 00011100 
     399000  +1            00010000 00011100 
     399000  +4            00010000 00011101 
     400000  +1            00010001 00011101 
     400000  +4            00010001 00011111 
     401000  +1            00010010 00011111 
     401000  +4            00010010 00100000 
     402000  +1            00010011 00100000 
     402000  +4            00010011 00100010 
     403000  +1            00010100 00100010 
     403000  +4            00010100 00100011 
     404000  +1            00010101 00100011 
     404000  +4            00010101 00100101 
     405000  +1            00010110 00100101 
     405000  +4            00010110 00100110 
     406000  +1            00010111 00100110 
     406000  +4            00010111 00100111 
     407000  +1            00011000 00100111 
     407000  +4            00011000 00101000 
     408000  +1            00011001 00101000 
     408000  +4            00011001 00101010 
     409000  +1            00011010 00101010 
     409000  +4            00011010 00101011 
     410000  +1            00011011 00101011 
     410000  +4            00011011 00101100 
     411000  +1            00011100 00101100 
     411000  +4            00011100 00101101 
     412000  +1            00011101 00101101 
     412000  +4            00011101 00101110 
     413000  +1            00011110 00101110 
     413000  +4            00011110 00101111 
     414000  +1            00011111 00101111 
     414000  +4            00011111 00110000 
     415000  +1            00100000 00110000 
     415000  +4            00100000 00110001 
     416000  +1            00100001 00110001 
     416000  +4            00100001 00110010 
     417000  +1            00100010 00110010 
     417000  +4            00100010 00110011 
     418000  +1            00100011 00110011 
     418000  +4            00100011 00110100 
     419000  +1            00100100 00110100 
     420000  +1            00100101 00110100 
     420000  +4            00100101 00110101 
     421000  +1            00100110 00110101 
     421000  +4            00100110 00110110 
     422000  +1            00100111 00110110 
     423000  +1            00101000 00110110 
     423000  +4            00101000 00110111 
     424000  +1            00101001 00110111 
     424000  +4            00101001 00111000 
     425000  +1            00101010 00111000 
     426000  +1            00101011 00111000 
     426000  +4            00101011 00111001 
     427000  +1            00101100 00111001 
     428000  +1            00101101 00111001 
     429000  +1            00101110 00111001 
     429000  +4            00101110 00111010 
     430000  +1            00101111 00111010 
     431000  +1            00110000 00111010 
     431000  +4            00110000 00111011 
     432000  +1            00110001 00111011 
     433000  +1            00110010 00111011 
     434000  +1            00110011 00111011 
     434000  +4            00110011 00111100 
     435000  +1            00110100 00111100 
     436000  +1            00110101 00111100 
     437000  +1            00110110 00111100 
     438000  +1            00110111 00111100 
     438000  +4            00110111 00111101 
     439000  +1            00111000 00111101 
     440000  +1            00111001 00111101 
     441000  +1            00111010 00111101 
     442000  +1            00111011 00111101 
     443000  +1            00111100 00111101 
     443000  +4            00111100 00111110 
     444000  +1            00111101 00111110 
     445000  +1            00111110 00111110 
     446000  +1            00111111 00111110 
     447000  +1            01000000 00111110 
     448000  +1            01000001 00111110 
     449000  +1            01000010 00111110 
     449000  +4            01000010 00111111 
     450000  +1            01000011 00111111 
     451000  +1            01000100 00111111 
     452000  +1            01000101 00111111 
     453000  +1            01000110 00111111 
     454000  +1            01000111 00111111 
     455000  +1            01001000 00111111 
     456000  +1            01001001 00111111 
     457000  +1            01001010 00111111 
     458000  +1            01001011 00111111 
     459000  +1            01001100 00111111 
     460000  +1            01001101 00111111 
     461000  +1            01001110 00111111 
     462000  +1            01001111 00111111 
     463000  +1            01010000 00111111 
     464000  +1            01010001 00111111 
     465000  +1            01010010 00111111 
     466000  +1            01010011 00111111 
     467000  +1            01010100 00111111 
     468000  +1            01010101 00111111 
     469000  +1            01010110 00111111 
     470000  +1            01010111 00111111 
     471000  +1            01011000 00111111 
     472000  +1            01011001 00111111 
     473000  +1            01011010 00111111 
     474000  +1            01011011 00111111 
     475000  +1            01011100 00111111 
     476000  +1            01011101 00111111 
     477000  +1            01011110 00111111 
     478000  +1            01011111 00111111 
     479000  +1            01100000 00111111 
     480000  +1            01100001 00111111 
     481000  +1            01100010 00111111 
     482000  +1            01100011 00111111 
     483000  +1            01100100 00111111 
     484000  +1            01100101 00111111 
     485000  +1            01100110 00111111 
     486000  +1            01100111 00111111 
     487000  +1            01101000 00111111 
     488000  +1            01101001 00111111 
     489000  +1            01101010 00111111 
     490000  +1            01101011 00111111 
     491000  +1            01101100 00111111 
     492000  +1            01101101 00111111 
     493000  +1            01101110 00111111 
     494000  +1            01101111 00111111 
     495000  +1            01110000 00111111 
     496000  +1            01110001 00111111 
     497000  +1            01110010 00111111 
     498000  +1            01110011 00111111 
     499000  +1            01110100 00111111 
     500000  +1            01110101 00111111 
